id,actual,pred
0,silky_terrier,cairn
1,silky_terrier,australian_terrier
2,silky_terrier,silky_terrier
3,silky_terrier,australian_terrier
4,silky_terrier,silky_terrier
5,silky_terrier,silky_terrier
6,silky_terrier,silky_terrier
7,silky_terrier,silky_terrier
8,silky_terrier,silky_terrier
9,silky_terrier,silky_terrier
10,silky_terrier,silky_terrier
11,silky_terrier,silky_terrier
12,silky_terrier,silky_terrier
13,silky_terrier,silky_terrier
14,silky_terrier,silky_terrier
15,silky_terrier,silky_terrier
16,silky_terrier,australian_terrier
17,silky_terrier,australian_terrier
18,silky_terrier,norfolk_terrier
19,silky_terrier,silky_terrier
20,silky_terrier,silky_terrier
21,silky_terrier,silky_terrier
22,silky_terrier,silky_terrier
23,silky_terrier,silky_terrier
24,silky_terrier,silky_terrier
25,silky_terrier,silky_terrier
26,silky_terrier,silky_terrier
27,silky_terrier,silky_terrier
28,silky_terrier,silky_terrier
29,silky_terrier,silky_terrier
30,silky_terrier,silky_terrier
31,silky_terrier,silky_terrier
32,silky_terrier,silky_terrier
33,silky_terrier,australian_terrier
34,silky_terrier,silky_terrier
35,silky_terrier,silky_terrier
36,silky_terrier,silky_terrier
37,silky_terrier,silky_terrier
38,silky_terrier,silky_terrier
39,silky_terrier,silky_terrier
40,silky_terrier,silky_terrier
41,silky_terrier,silky_terrier
42,silky_terrier,silky_terrier
43,silky_terrier,silky_terrier
44,silky_terrier,silky_terrier
45,silky_terrier,silky_terrier
46,silky_terrier,silky_terrier
47,silky_terrier,silky_terrier
48,silky_terrier,silky_terrier
49,silky_terrier,silky_terrier
50,silky_terrier,silky_terrier
51,silky_terrier,silky_terrier
52,silky_terrier,silky_terrier
53,silky_terrier,silky_terrier
54,silky_terrier,yorkshire_terrier
55,silky_terrier,silky_terrier
56,silky_terrier,silky_terrier
57,silky_terrier,tibetan_terrier
58,silky_terrier,silky_terrier
59,silky_terrier,australian_terrier
60,silky_terrier,silky_terrier
61,silky_terrier,silky_terrier
62,silky_terrier,silky_terrier
63,silky_terrier,silky_terrier
64,silky_terrier,silky_terrier
65,silky_terrier,yorkshire_terrier
66,silky_terrier,silky_terrier
67,silky_terrier,silky_terrier
68,silky_terrier,silky_terrier
69,silky_terrier,silky_terrier
70,silky_terrier,silky_terrier
71,silky_terrier,miniature_schnauzer
72,silky_terrier,silky_terrier
73,silky_terrier,silky_terrier
74,silky_terrier,miniature_schnauzer
75,silky_terrier,silky_terrier
76,silky_terrier,silky_terrier
77,silky_terrier,yorkshire_terrier
78,silky_terrier,silky_terrier
79,silky_terrier,yorkshire_terrier
80,silky_terrier,silky_terrier
