id,actual,pred
0,silky_terrier,silky_terrier
1,silky_terrier,silky_terrier
2,silky_terrier,silky_terrier
3,silky_terrier,silky_terrier
4,silky_terrier,silky_terrier
5,silky_terrier,silky_terrier
6,silky_terrier,australian_terrier
7,silky_terrier,lhasa
8,silky_terrier,silky_terrier
9,silky_terrier,silky_terrier
10,silky_terrier,silky_terrier
11,silky_terrier,silky_terrier
12,silky_terrier,silky_terrier
13,silky_terrier,silky_terrier
14,silky_terrier,silky_terrier
15,silky_terrier,australian_terrier
16,silky_terrier,silky_terrier
17,silky_terrier,silky_terrier
18,silky_terrier,silky_terrier
19,silky_terrier,silky_terrier
20,silky_terrier,silky_terrier
21,silky_terrier,silky_terrier
22,silky_terrier,silky_terrier
23,silky_terrier,silky_terrier
24,silky_terrier,silky_terrier
25,silky_terrier,silky_terrier
26,silky_terrier,silky_terrier
27,silky_terrier,silky_terrier
28,silky_terrier,silky_terrier
29,silky_terrier,silky_terrier
30,silky_terrier,silky_terrier
31,silky_terrier,silky_terrier
32,silky_terrier,silky_terrier
33,silky_terrier,silky_terrier
34,silky_terrier,norfolk_terrier
35,silky_terrier,silky_terrier
36,silky_terrier,silky_terrier
37,silky_terrier,australian_terrier
38,silky_terrier,silky_terrier
39,silky_terrier,silky_terrier
40,silky_terrier,australian_terrier
41,silky_terrier,silky_terrier
42,silky_terrier,silky_terrier
43,silky_terrier,silky_terrier
44,silky_terrier,silky_terrier
45,silky_terrier,silky_terrier
46,silky_terrier,silky_terrier
47,silky_terrier,silky_terrier
48,silky_terrier,silky_terrier
49,silky_terrier,silky_terrier
50,silky_terrier,silky_terrier
51,silky_terrier,yorkshire_terrier
52,silky_terrier,silky_terrier
53,silky_terrier,australian_terrier
54,silky_terrier,silky_terrier
55,scottish_deerhound,scottish_deerhound
56,scottish_deerhound,scottish_deerhound
57,scottish_deerhound,scottish_deerhound
58,scottish_deerhound,scottish_deerhound
59,scottish_deerhound,scottish_deerhound
60,scottish_deerhound,scottish_deerhound
61,scottish_deerhound,scottish_deerhound
62,scottish_deerhound,scottish_deerhound
63,scottish_deerhound,scottish_deerhound
64,scottish_deerhound,scottish_deerhound
65,scottish_deerhound,scottish_deerhound
66,scottish_deerhound,scottish_deerhound
67,scottish_deerhound,scottish_deerhound
68,scottish_deerhound,scottish_deerhound
69,scottish_deerhound,scottish_deerhound
70,scottish_deerhound,scottish_deerhound
71,scottish_deerhound,irish_wolfhound
72,scottish_deerhound,scottish_deerhound
73,scottish_deerhound,scottish_deerhound
74,scottish_deerhound,scottish_deerhound
75,scottish_deerhound,scottish_deerhound
76,scottish_deerhound,scottish_deerhound
77,scottish_deerhound,scottish_deerhound
78,scottish_deerhound,scottish_deerhound
79,scottish_deerhound,scottish_deerhound
80,scottish_deerhound,scottish_deerhound
81,scottish_deerhound,scottish_deerhound
82,scottish_deerhound,scottish_deerhound
83,scottish_deerhound,scottish_deerhound
84,scottish_deerhound,scottish_deerhound
85,scottish_deerhound,scottish_deerhound
86,scottish_deerhound,scottish_deerhound
87,scottish_deerhound,scottish_deerhound
88,scottish_deerhound,scottish_deerhound
89,scottish_deerhound,scottish_deerhound
90,scottish_deerhound,scottish_deerhound
91,scottish_deerhound,scottish_deerhound
92,scottish_deerhound,scottish_deerhound
93,scottish_deerhound,scottish_deerhound
